text,label_binary,source
Taiwan is part of the Phillippines.,0,FEVER
The Legend of Tarzan (film) is an American film that has a budget of $180 million Hong Kong dollars.,0,FEVER
Taiwan is not a state.,0,FEVER
Hong Kong has a high income.,1,FEVER
Xi Jinping spent five years as a tourist.,0,FEVER
Lee Min-ho's first film that was produced in China was Bounty Hunters.,1,FEVER
Jing Tian was born in China in 1988.,1,FEVER
"Says he has seen Border Patrol signs near the Mexico border in English, Spanish and Chinese.",1,LIAR/PolitiFact
Hong Kong is the place that Jackie Chan is from.,1,FEVER
"Taiwan is next to China, Japan, and the Philippines.",1,FEVER
Beijing is rarely the second largest Chinese city.,1,FEVER
Xi Jinping was a president.,1,FEVER
"Singapore is in Southeast Asia, off the coast of China.",1,FEVER
Taipei is the cultural capital of Taiwan.,1,FEVER
"By 2015, we will be sending so much interest to China that we will be paying for the entire Peoples Liberation Army.",0,LIAR/PolitiFact
Ghostbusters was only released theatrically in China.,0,FEVER
"Says Russ Feingold supported a stimulus plan that allowed a company to create 3,000 jobs in China.",0,LIAR/PolitiFact
Ghostbusters was only released theatrically in China.,0,FEVER
"Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.",0,LIAR/PolitiFact
Taiwan only has a neighbor to the east.,0,FEVER
"The United States has more of our people in prison than Russia, China, and North Korea combined.",0,LIAR/PolitiFact
Hong Kong has a high per capita income.,1,FEVER
Beijing has a smaller population than Shanghai.,1,FEVER
Chinese people are people only associated with Russia.,0,FEVER
Detroit Diesel is a Chinese manufacturer.,0,FEVER
Taipei is a global city in Taiwan.,1,FEVER
Were losing now over $500 billion a year in terms of imbalance with China.,0,LIAR/PolitiFact
Taiwan is not officially called the Republic of China.,1,FEVER
"""We were promised (the stimulus) would provide 'green jobs' for Americans, but 80% of the $2 billion they spent on alternative energy went to purchase wind turbines built in China!""",0,LIAR/PolitiFact
The Hui people also have a community in the Hebei province of China.,1,FEVER
Nepal borders China in the north.,1,FEVER
Kangana Ranaut's feature film debut was in Chinese cinema.,0,FEVER
Oz the Great and Powerful premiered only at Grauman's Chinese Theatre.,0,FEVER
Says Obama sent $450 million to China to build a wind farm in Texas.,0,LIAR/PolitiFact
The Rolling Stones was made up of Chinese and Mexican musicians.,0,FEVER
Newt Gingrich co-sponsored a bill with Nancy Pelosi that would have given $60 million a year to a U.N. program supporting Chinas brutal one-child policy.,0,LIAR/PolitiFact
The Philippines was named by a Chinese explorer.,0,FEVER
Moscow is the capital of China.,0,FEVER
"Hillary Clinton surged the trade deficit with China 40% as Secretary of State, costing Americans millions of jobs.",0,LIAR/PolitiFact
"Singapore is in Southeast Asia, off the coast of China.",1,FEVER
Taiwan is officially called the Republic of China.,1,FEVER
Hugh Hefner only worked as a computer engineer in China.,0,FEVER
Taiwan is not in East Asia.,0,FEVER
Hong Kong has been kicked out of the WTO.,0,FEVER
Taiwan is officially called the Democratic People's Republic of North Korea.,0,FEVER
"Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.",0,LIAR/PolitiFact
China has made enormous progress in its human rights. That is a fact recognized by all the people in the world.,0,LIAR/PolitiFact
Charles Woodruff Yost represented Taiwan to the United Nations.,0,FEVER
Russia and China absolutely said clearly they would not keep economic sanctions on Iran if the United States walked away from the deal.,1,LIAR/PolitiFact
The Politburo Standing Committee included Xi Jinping.,1,FEVER
Xi Jinping was in the Politburo Standing Committee.,1,FEVER
The majority of revenue generated by a proposed Kenosha casino would be sent to the Seminole tribe in Florida.,0,LIAR/PolitiFact
Daniel Day-Lewis has spent his entire life in China.,0,FEVER
Xi Jinping was the Vice Chairman of the Central Military Commission from 2010 to 2012.,1,FEVER
Hong Kong keeps a separate political system from China.,1,FEVER
Two days of interest we pay to China is enough to buy one joint strike fighter [jet].,1,LIAR/PolitiFact
Roald Dahl's parents are full Chinese.,0,FEVER
The Shape of Water (film) is an upcoming Chinese film only.,0,FEVER
The location that is consistently ranked as the world's most freest economic entity is Hong Kong.,1,FEVER
Hong Kong has been kicked out of the WTO.,0,FEVER
Xi Jinping served as vice-president.,1,FEVER
Marble Hill is the northernmost neighborhood in China.,0,FEVER
Nick Jonas was released by a Chinese-Mongolian record label.,0,FEVER
Dwight D. Eisenhower worked with the Chinese government.,1,FEVER
Shueisha is headquartered in the capital of China.,0,FEVER
"President Obamas proposal calls for serious cuts in our own long-term carbon emissions, but China and India will still be allowed to increase their emissions.",1,LIAR/PolitiFact
Stephon Marbury is a native player in the Chinese Basketball Association.,0,FEVER
BYD Auto is a manufacturer from China.,1,FEVER
Chris Terrio is a citizen of China.,0,FEVER
41 cents out of every dollar (the U.S. spends) is borrowed from places like China.,1,LIAR/PolitiFact
Kick-Ass is based on a comic book by a Chinese writer.,0,FEVER
Beijing is rarely the second largest Chinese city.,1,FEVER
Taiwan is a political entity.,1,FEVER
Taipei is the educational capital of the island of Taiwan.,1,FEVER
"""Our children's safety is potentially at risk because nearly half of the apple juice consumed by our children comes from apples grown in China.""",1,LIAR/PolitiFact
WeChat is an app from China.,1,FEVER
Taipei is the educational capital of the island of Taiwan.,1,FEVER
Beijing is the country's center of education.,1,FEVER
Page Hamilton is Chinese.,0,FEVER
Emmanuel Adebayor is Chinese.,0,FEVER
Hong Kong is where Katrina Kaif was born.,1,FEVER
Nepal borders China in the north.,1,FEVER
Taiwan has an official name.,1,FEVER
Foreign Chinese prostitution money is allegedly behind the groups funding Congressman Jim Renaccis Republican majority.,0,LIAR/PolitiFact
Taiwan changed from a one-party military dictatorship to a multi-party democracy in the 1960s and early 1970s.,0,FEVER
The Legend of Tarzan (film) is an American film that has a budget of $180 million Hong Kong dollars.,0,FEVER
TCL Chinese Theatre is where Ghostbusters premiered.,1,FEVER
Michael Douglas was responsible for the production The China Syndrome.,1,FEVER
"Taiwan is neighbored by Turkey, Japan, and the Philippines.",0,FEVER
Taiwan is east of China.,1,FEVER
Chinese people can only be associated with China through ethnicity.,0,FEVER
"About 750,000 people die in China each year from auto emissions.",0,LIAR/PolitiFact
San Francisco's Chinatown is the youngest Chinatown in North America.,0,FEVER
Stephon Marbury is a foreign basketball player in the Chinese Basketball Association.,1,FEVER
Charles Woodruff Yost represented Taiwan to the United Nations.,0,FEVER
Jet Li was born far away from Beijing.,0,FEVER
"Were fifth in the world (in executions), behind China, Iran, Iraq and Saudi Arabia.",1,LIAR/PolitiFact
"Ford Motor Company has joint-ventures in China, Taiwan, and Thailand.",1,FEVER
Taiwan only has a neighbor to the east.,0,FEVER
South Korea's alphabet was easier to learn than ancient Chinese.,1,FEVER
TheU.S. economyis three times asbig as Chinas.,1,LIAR/PolitiFact
The political capital of Taiwan is Taipei.,1,FEVER
Chinese people can be associated with Japan through nationality.,0,FEVER
Taiwan had a neighbor to the west.,1,FEVER
Xi Jinping was in the Politburo Standing Committee.,1,FEVER
Xi Jinping spent time as Hu Jintao's presumed successor.,1,FEVER
Hong Kong is a member of the World Trade Organization.,1,FEVER
"By 2015, we will be sending so much interest to China that we will be paying for the entire Peoples Liberation Army.",0,LIAR/PolitiFact
Says Donald Trumps Make America Great Again caps are made in China.,0,LIAR/PolitiFact
Taiwan entered a period of rapid economic growth and industrialization in the 1960s.,1,FEVER
U.S. military uniforms are manufactured in China.,0,LIAR/PolitiFact
There is a Chinese dancer name Lay (entertainer),1,FEVER
Taiwan is part of the Phillippines.,0,FEVER
The Legend of Tarzan (film) is an American film that has a budget of $180 million Hong Kong dollars.,0,FEVER
Chinese people can only be associated with Japan through ethnicity.,0,FEVER
The Philippines was named by a Chinese explorer.,0,FEVER
Taiwan is east of several Asian countries.,1,FEVER
Hugh Hefner only worked as a computer engineer in China.,0,FEVER
Lay (entertainer) is Chinese.,1,FEVER
India is situated between China and the Indian Ocean.,1,FEVER
Xi Jinping was the Vice Chairman of the Central Military Commission.,1,FEVER
Jet Li made his debut in China.,1,FEVER
BYD Auto is a Chinese restaurant.,0,FEVER
Lee Min-ho's first film that was produced in China was Bounty Hunters.,1,FEVER
Rob Portman is the one who actually sucked the jobs out of the (Mahoning) Valley and sent them to China.,0,LIAR/PolitiFact
Taiwan's only neighbor is Germany.,0,FEVER
A Chinese manufacturer is BYD Auto.,1,FEVER
BYD Auto is a Chinese automobile manufacturer established in 1909.,0,FEVER
Hong Kong maintains a separate political system from China.,1,FEVER
Taiwan is the 22nd-largest economy on the planet.,1,FEVER
"The Senate immigration bill is filled with things like rewards for au pair agencies, Alaskan seafood processors and Vegas casinos.",1,LIAR/PolitiFact
Floyd Mayweather Jr. is Chinese.,0,FEVER
Taiwan's only neighbor is Ireland.,0,FEVER
Lay (entertainer) is Chinese.,1,FEVER
Beijing is the second largest Chinese sculpture.,0,FEVER
Make no mistake -- Sherrod Brown is one of the main D.C. politicians responsible for Ohio jobs moving to China.,0,LIAR/PolitiFact
San Francisco's Chinatown is centered on Kearny Street and Mission Street.,0,FEVER
The Weeknd is a Chinese singer.,0,FEVER
The Republic of China was recognized as China's legitimate government by Dwight D. Eisenhower.,1,FEVER
San Francisco's Chinatown is the oldest Chinatown in North America.,1,FEVER
Tommy Chong stayed in China his whole life.,0,FEVER
"Says while serving in the city council, Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China.",0,LIAR/PolitiFact
South Korea's alphabet was harder to learn than ancient Chinese.,0,FEVER
"E-mail quotes Maureen Dowd column that Obama has received suspicious contributions from Saudi Arabia, Iran and China.",0,LIAR/PolitiFact
Ella Purnell is a Chinese actress.,0,FEVER
Beijing features a smaller human count than Shanghai.,0,FEVER
Taiwan is officially called the Democratic People's Republic of North Korea.,0,FEVER
The Legend of Tarzan (film) is an American film that has a budget of $180 million Hong Kong dollars.,0,FEVER
Each day our nation pays communist China $73.9 million in interest on our debt.,1,LIAR/PolitiFact
"Trade on the Silk Road played a major role in the development of the civilizations of China, Korea, Japan, India, Persia, and others.",1,FEVER
Xi Jinping spent five years as Hu Jintao's presumed successor.,1,FEVER
"The law, right now, permits companies that close down American factories and offices and move those jobs overseas to take a tax deduction for the costs associated with moving the jobs to China or India or wherever.",1,LIAR/PolitiFact
Hong Kong has the highest Financial Development Index score.,1,FEVER
Paul Feig is Chinese.,0,FEVER
Sachin Tendulkar received China's highest civilian award.,0,FEVER
Lee Min-ho's first China-produced film was Bounty Hunters.,1,FEVER
Taipei is the economic capital of Taiwan.,1,FEVER
Taipei is the cultural capital of Taiwan.,1,FEVER
Ajay Devgn only directs films in China.,0,FEVER
Taiwan is east of the South China Sea.,1,FEVER
Lay (entertainer) is a Chinese music producer.,1,FEVER
Xi Jinping spent five years in the 1990's as Hu Jintao's presumed successor.,1,FEVER
Taiwan has a large economy.,1,FEVER
"Until the new Iran deal, China and Russia have never voted with us at the U.N. on any sanctions on Iran in the past.",0,LIAR/PolitiFact
Daniel Day-Lewis has spent his entire life in China.,0,FEVER
Taipei is the economic capital of Taiwan.,1,FEVER
"By 2015, we will be sending so much interest to China that we will be paying for the entire Peoples Liberation Army.",0,LIAR/PolitiFact
"Jennifer Aniston was born in China, has always lived there, and has exclusively Chinese ancestry.",0,FEVER
Ayutthaya was friendly towards Chinese people.,1,FEVER
Hong Kong is incapable of having the highest Financial Development Index score.,0,FEVER
Francois de Belleforest wrote on Chinese history.,0,FEVER
Isis is from the pantheon of China.,0,FEVER
"Ayutthaya was friendly towards Chinese, Dutch, English, Vietnamese, Indian, Japanese, Persian, Portuguese, Spanish, and French people.",1,FEVER
"Said U.S. Rep. Jim Marshall, D-Macon, sent nearly $2 billion overseas to build wind turbines and create jobs, mostly in China",0,LIAR/PolitiFact
Taiwan's high-tech industry plays a key role in the global economy.,1,FEVER
Chinese people only can be associated with Spain through nationality.,0,FEVER
"Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.",0,LIAR/PolitiFact
Taiwan is the 22nd-largest economy on the planet.,1,FEVER
"Says Michele Bachmann said, The Chinese built a Great Wall 5,000 years ago. You dont see any illegal Mexicans in China.",0,LIAR/PolitiFact
The Chinese are there in Syria.,0,LIAR/PolitiFact
Ronda Rousey won an Olympic bronze medal in judo during the 2008 Summer Olympics in Beijing.,1,FEVER
San Francisco's Chinatown is the youngest Chinatown in North America.,0,FEVER
Foreign Trade Zones allow U.S. land to be inhabited by Chinese communists -- communists straight from China! They are to set up little towns and live here.,0,LIAR/PolitiFact
Taiwan's only neighbor is Ireland.,0,FEVER
Taiwan is a part of China.,0,FEVER
Taiwan is north of the Phillippines.,1,FEVER
Floyd Mayweather Jr. is Chinese.,0,FEVER
Hong Kong is one of the world's most significant financial centers.,1,FEVER
Xi Jinping joined the Communist Party.,1,FEVER
The Himalayas has some of its mountains in China and Nepal.,1,FEVER
Taiwan's only neighbor is Germany.,0,FEVER
Taiwan is the 22nd-largest economy in the world.,1,FEVER
Taipei is the economic capital of the island of Taiwan.,1,FEVER
Brokeback Mountain was directed by a Taiwanese film director.,1,FEVER
Hong Kong maintains a separate political system.,1,FEVER
The largest urban area of Australia is Beijing.,0,FEVER
Major League Soccer takes place in Africa and China.,0,FEVER
Novak Djokovic was unqualified to compete in the Summer Olympics in Beijing.,0,FEVER
Says David Dewhurst accused Cruz of being a Red Chinese Communist.,1,LIAR/PolitiFact
Emmanuel Adebayor is Chinese.,0,FEVER
Xi Jinping joined the Communist Party.,1,FEVER
Telangana is in China.,0,FEVER
Hong Kong is one of the world's most significant centers.,1,FEVER
Says Donald Trumps Make America Great Again caps are made in China.,0,LIAR/PolitiFact
Beijing has a dual party-government.,0,FEVER
Russia's capital is Beijing.,0,FEVER
The Legend of Tarzan (film) is an American film that has a budget of $180 million Hong Kong dollars.,0,FEVER
Jackie Chan is not from Hong Kong.,0,FEVER
Taiwan's high-tech industry plays a key role in the local economy.,0,FEVER
Taiwan has a neighbor in at least one direction.,1,FEVER
Jing Tian is a Chinese citizen.,1,FEVER
Kris Wu is a Chinese-born Canadian singer.,1,FEVER
Beijing is rarely the nation's educational center.,0,FEVER
Taiwan is officially known as the Republic of China.,1,FEVER
Taiwan's only neighbor is Germany.,0,FEVER
Lay (entertainer) is a Chinese author.,1,FEVER
Taiwan's neighbor is Tanzania.,0,FEVER
Taiwan is officially known as the Republic of China.,1,FEVER
Ancient Chinese is harder to learn compared to South Korea's main language.,1,FEVER
Beijing is the second largest Chinese sculpture.,0,FEVER
The Himalayas has some of its mountains in China.,1,FEVER
The Hui people also have communities in Beijing and Hebei.,1,FEVER
Beijing is the nation's cultural center.,1,FEVER
"Taiwan is neighbored by China, Japan, and the Philippines.",1,FEVER
"Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.",0,LIAR/PolitiFact
Beijing is rarely a city.,0,FEVER
"Two years ago, the longest serving leader of the California republic, Jerry Brown, boldly declared in China that California is a separate nation.",0,LIAR/PolitiFact
Mao Zedong was from China.,1,FEVER
